,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Zhaoxian-m-20-nochain,1,2,10,0,12425,,
1,Zhaoxian-m-20-nochain,2,1,3,1,12034,1,0
2,Zhaoxian-m-20-nochain,3,2,17,0,17922,,
3,Zhaoxian-m-20-nochain,4,1,13,0,13243,,
4,Zhaoxian-m-20-nochain,5,1,15,1,9963,2,1
5,Zhaoxian-m-20-nochain,6,1,7,0,12723,,
6,Zhaoxian-m-20-nochain,7,2,1,1,15164,3,2
7,Zhaoxian-m-20-nochain,8,2,14,1,12523,3,1
8,Zhaoxian-m-20-nochain,9,2,13,1,8364,1,0
9,Zhaoxian-m-20-nochain,10,2,6,0,12658,,
10,Zhaoxian-m-20-nochain,11,1,4,1,10893,1,0
11,Zhaoxian-m-20-nochain,12,1,8,1,12684,1,0
12,Zhaoxian-m-20-nochain,13,2,2,1,9245,0,2
13,Zhaoxian-m-20-nochain,14,1,18,1,6395,2,1
14,Zhaoxian-m-20-nochain,15,2,11,1,8861,1,0
15,Zhaoxian-m-20-nochain,16,1,16,0,11597,,
16,Zhaoxian-m-20-nochain,17,2,5,1,8570,3,0
17,Zhaoxian-m-20-nochain,18,2,15,1,7069,0,2
18,Zhaoxian-m-20-nochain,19,2,18,1,11260,0,2
19,Zhaoxian-m-20-nochain,20,2,16,0,9964,,
20,Zhaoxian-m-20-nochain,21,2,9,1,12033,1,0
21,Zhaoxian-m-20-nochain,22,2,0,1,11549,0,2
22,Zhaoxian-m-20-nochain,23,1,2,1,12379,2,0
23,Zhaoxian-m-20-nochain,24,1,5,1,7228,1,0
24,Zhaoxian-m-20-nochain,25,2,4,1,8668,1,0
25,Zhaoxian-m-20-nochain,26,1,6,0,12195,,
26,Zhaoxian-m-20-nochain,27,1,9,1,11228,2,0
27,Zhaoxian-m-20-nochain,28,1,11,0,10652,,
28,Zhaoxian-m-20-nochain,29,2,7,1,8780,1,0
29,Zhaoxian-m-20-nochain,30,2,8,1,7101,2,3
30,Zhaoxian-m-20-nochain,31,1,17,0,9916,,
31,Zhaoxian-m-20-nochain,32,2,3,1,9211,1,0
32,Zhaoxian-m-20-nochain,33,1,19,0,11971,,
33,Zhaoxian-m-20-nochain,34,1,0,0,10202,,
34,Zhaoxian-m-20-nochain,35,2,12,1,6043,3,2
35,Zhaoxian-m-20-nochain,36,1,12,1,12378,0,3
36,Zhaoxian-m-20-nochain,37,1,10,1,10397,1,0
37,Zhaoxian-m-20-nochain,38,2,19,0,8748,,
38,Zhaoxian-m-20-nochain,39,1,14,0,10859,,
39,Zhaoxian-m-20-nochain,40,1,1,1,10460,2,3
